id,dut,categories,test,description,inputs,result,messages
133,dc1-leaf2a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback0 - ROUTER_ID = 'up',PASS,
134,dc1-leaf2a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback1 - VXLAN_TUNNEL_SOURCE = 'up',PASS,
135,dc1-leaf2a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback10 - DIAG_VRF_VRF10 = 'up',PASS,
136,dc1-leaf2a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback11 - DIAG_VRF_VRF11 = 'up',PASS,
137,dc1-leaf2a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Port-Channel3 - MLAG_dc1-leaf2b_Port-Channel3 = 'up',PASS,
138,dc1-leaf2a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Port-Channel5 - SERVER_dc1-leaf2-server2_Bond1 = 'up',PASS,
139,dc1-leaf2a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan11 - VRF10_VLAN11 = 'up',PASS,
140,dc1-leaf2a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan12 - VRF10_VLAN12 = 'up',PASS,
141,dc1-leaf2a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan21 - VRF11_VLAN21 = 'up',PASS,
142,dc1-leaf2a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan22 - VRF11_VLAN22 = 'up',PASS,
143,dc1-leaf2a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan3009 - MLAG_L3_VRF_VRF10 = 'up',PASS,
144,dc1-leaf2a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan3010 - MLAG_L3_VRF_VRF11 = 'up',PASS,
145,dc1-leaf2a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan4093 - MLAG_L3 = 'up',PASS,
146,dc1-leaf2a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan4094 - MLAG = 'up',PASS,
147,dc1-leaf2a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vxlan1 = 'up',PASS,
148,dc1-leaf2a,MLAG,VerifyMlagStatus,Verifies the health status of the MLAG configuration.,,PASS,
149,dc1-leaf2a,Routing,VerifyRoutingProtocolModel,Verifies the configured routing protocol model.,Routing protocol model: multi-agent,PASS,
150,dc1-leaf2a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.1 - Peer: dc1-spine1,PASS,
151,dc1-leaf2a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.2 - Peer: dc1-spine2,PASS,
152,dc1-leaf2a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.1.1 - Peer: dc1-leaf1a,PASS,
153,dc1-leaf2a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.1.2 - Peer: dc1-leaf1b,PASS,
154,dc1-leaf2a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.1.3 - Peer: dc1-leaf2a,PASS,
155,dc1-leaf2a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.1.4 - Peer: dc1-leaf2b,PASS,
156,dc1-leaf2a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.2.1 - Peer: dc1-leaf1a,PASS,
157,dc1-leaf2a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.2.3 - Peer: dc1-leaf2a,PASS,
158,dc1-leaf2a,System,VerifyNTP,Verifies if NTP is synchronised.,,FAIL,NTP status mismatch - Expected: synchronised Actual: NTP is disabled.
159,dc1-leaf2a,System,VerifyReloadCause,Verifies the last reload cause of the device.,,PASS,
160,dc1-leaf2b,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: dc1-spine1 (IP: 10.255.0.1),PASS,
161,dc1-leaf2b,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: dc1-spine2 (IP: 10.255.0.2),PASS,
162,dc1-leaf2b,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: dc1-leaf2a (IP: 10.255.253.4),PASS,
163,dc1-leaf2b,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: dc1-spine1 (IP: 10.255.255.12),PASS,
164,dc1-leaf2b,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: dc1-spine2 (IP: 10.255.255.14),PASS,
165,dc1-leaf2b,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet1 - Remote: dc1-spine1 Ethernet4,PASS,
166,dc1-leaf2b,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet2 - Remote: dc1-spine2 Ethernet4,PASS,
167,dc1-leaf2b,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet3 - Remote: dc1-leaf2a Ethernet3,PASS,
168,dc1-leaf2b,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet4 - Remote: dc1-leaf2a Ethernet4,PASS,
169,dc1-leaf2b,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.1.4) - Destination: dc1-leaf1a Loopback0 (IP: 10.255.1.1),PASS,
170,dc1-leaf2b,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.1.4) - Destination: dc1-leaf1b Loopback0 (IP: 10.255.1.2),PASS,
171,dc1-leaf2b,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.1.4) - Destination: dc1-leaf2a Loopback0 (IP: 10.255.1.3),PASS,
172,dc1-leaf2b,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.1.4) - Destination: dc1-leaf2b Loopback0 (IP: 10.255.1.4),PASS,
173,dc1-leaf2b,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.1.4) - Destination: dc1-spine1 Loopback0 (IP: 10.255.0.1),PASS,
174,dc1-leaf2b,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 10.255.1.4) - Destination: dc1-spine2 Loopback0 (IP: 10.255.0.2),PASS,
175,dc1-leaf2b,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet1 (IP: 10.255.255.13) - Destination: dc1-spine1 Ethernet4 (IP: 10.255.255.12),PASS,
176,dc1-leaf2b,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet2 (IP: 10.255.255.15) - Destination: dc1-spine2 Ethernet4 (IP: 10.255.255.14),PASS,
177,dc1-leaf2b,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentCooling test is not supported on cEOSLab
178,dc1-leaf2b,Hardware,VerifyEnvironmentPower,Verifies the power supplies state and input voltage.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentPower test is not supported on cEOSLab
179,dc1-leaf2b,Hardware,VerifyTemperature,Verifies if the device temperature is within acceptable limits.,,SKIPPED,VerifyTemperature test is not supported on cEOSLab
180,dc1-leaf2b,Hardware,VerifyTransceiversManufacturers,Verifies if all the transceivers come from approved manufacturers.,"Accepted Manufacturers: 'Arista Networks', 'Arastra, Inc.', 'Not Present'",SKIPPED,VerifyTransceiversManufacturers test is not supported on cEOSLab
181,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet1 - P2P_dc1-spine1_Ethernet4 = 'up',PASS,
182,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet2 - P2P_dc1-spine2_Ethernet4 = 'up',PASS,
183,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet3 - MLAG_dc1-leaf2a_Ethernet3 = 'up',PASS,
184,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet4 - MLAG_dc1-leaf2a_Ethernet4 = 'up',PASS,
185,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet5 - SERVER_server2_eth2 = 'up',PASS,
186,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback0 - ROUTER_ID = 'up',PASS,
187,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback1 - VXLAN_TUNNEL_SOURCE = 'up',PASS,
188,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback10 - DIAG_VRF_VRF10 = 'up',PASS,
189,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback11 - DIAG_VRF_VRF11 = 'up',PASS,
190,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Port-Channel3 - MLAG_dc1-leaf2a_Port-Channel3 = 'up',PASS,
191,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Port-Channel5 - SERVER_dc1-leaf2-server2_Bond1 = 'up',PASS,
192,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan11 - VRF10_VLAN11 = 'up',PASS,
193,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan12 - VRF10_VLAN12 = 'up',PASS,
194,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan21 - VRF11_VLAN21 = 'up',PASS,
195,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan22 - VRF11_VLAN22 = 'up',PASS,
196,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan3009 - MLAG_L3_VRF_VRF10 = 'up',PASS,
197,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan3010 - MLAG_L3_VRF_VRF11 = 'up',PASS,
198,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan4093 - MLAG_L3 = 'up',PASS,
199,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan4094 - MLAG = 'up',PASS,
200,dc1-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vxlan1 = 'up',PASS,
201,dc1-leaf2b,MLAG,VerifyMlagStatus,Verifies the health status of the MLAG configuration.,,PASS,
202,dc1-leaf2b,Routing,VerifyRoutingProtocolModel,Verifies the configured routing protocol model.,Routing protocol model: multi-agent,PASS,
203,dc1-leaf2b,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.1 - Peer: dc1-spine1,PASS,
204,dc1-leaf2b,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.0.2 - Peer: dc1-spine2,PASS,
205,dc1-leaf2b,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.1.1 - Peer: dc1-leaf1a,PASS,
206,dc1-leaf2b,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.1.2 - Peer: dc1-leaf1b,PASS,
207,dc1-leaf2b,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.1.3 - Peer: dc1-leaf2a,PASS,
208,dc1-leaf2b,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.1.4 - Peer: dc1-leaf2b,PASS,
209,dc1-leaf2b,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.2.1 - Peer: dc1-leaf1a,PASS,
210,dc1-leaf2b,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 10.255.2.3 - Peer: dc1-leaf2a,PASS,
211,dc1-leaf2b,System,VerifyNTP,Verifies if NTP is synchronised.,,FAIL,NTP status mismatch - Expected: synchronised Actual: NTP is disabled.
212,dc1-leaf2b,System,VerifyReloadCause,Verifies the last reload cause of the device.,,PASS,
213,dc1-spine1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: dc1-leaf1a (IP: 10.255.1.1),PASS,
214,dc1-spine1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: dc1-leaf1b (IP: 10.255.1.2),PASS,
215,dc1-spine1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: dc1-leaf2a (IP: 10.255.1.3),PASS,
216,dc1-spine1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: dc1-leaf2b (IP: 10.255.1.4),PASS,
217,dc1-spine1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: dc1-leaf1a (IP: 10.255.255.1),PASS,
218,dc1-spine1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: dc1-leaf1b (IP: 10.255.255.5),PASS,
219,dc1-spine1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: dc1-leaf2a (IP: 10.255.255.9),PASS,
220,dc1-spine1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: dc1-leaf2b (IP: 10.255.255.13),PASS,
221,dc1-spine1,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet1 - Remote: dc1-leaf1a Ethernet1,PASS,
222,dc1-spine1,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet2 - Remote: dc1-leaf1b Ethernet1,PASS,
223,dc1-spine1,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet3 - Remote: dc1-leaf2a Ethernet1,PASS,
224,dc1-spine1,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet4 - Remote: dc1-leaf2b Ethernet1,PASS,
225,dc1-spine1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet1 (IP: 10.255.255.0) - Destination: dc1-leaf1a Ethernet1 (IP: 10.255.255.1),PASS,
226,dc1-spine1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet2 (IP: 10.255.255.4) - Destination: dc1-leaf1b Ethernet1 (IP: 10.255.255.5),PASS,
227,dc1-spine1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet3 (IP: 10.255.255.8) - Destination: dc1-leaf2a Ethernet1 (IP: 10.255.255.9),PASS,
228,dc1-spine1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet4 (IP: 10.255.255.12) - Destination: dc1-leaf2b Ethernet1 (IP: 10.255.255.13),PASS,
229,dc1-spine1,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentCooling test is not supported on cEOSLab
230,dc1-spine1,Hardware,VerifyEnvironmentPower,Verifies the power supplies state and input voltage.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentPower test is not supported on cEOSLab
231,dc1-spine1,Hardware,VerifyTemperature,Verifies if the device temperature is within acceptable limits.,,SKIPPED,VerifyTemperature test is not supported on cEOSLab
232,dc1-spine1,Hardware,VerifyTransceiversManufacturers,Verifies if all the transceivers come from approved manufacturers.,"Accepted Manufacturers: 'Arista Networks', 'Arastra, Inc.', 'Not Present'",SKIPPED,VerifyTransceiversManufacturers test is not supported on cEOSLab
233,dc1-spine1,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet1 - P2P_dc1-leaf1a_Ethernet1 = 'up',PASS,
234,dc1-spine1,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet2 - P2P_dc1-leaf1b_Ethernet1 = 'up',PASS,
235,dc1-spine1,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet3 - P2P_dc1-leaf2a_Ethernet1 = 'up',PASS,
236,dc1-spine1,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet4 - P2P_dc1-leaf2b_Ethernet1 = 'up',PASS,
237,dc1-spine1,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback0 - ROUTER_ID = 'up',PASS,
238,dc1-spine1,Routing,VerifyRoutingProtocolModel,Verifies the configured routing protocol model.,Routing protocol model: multi-agent,PASS,
239,dc1-spine1,System,VerifyNTP,Verifies if NTP is synchronised.,,FAIL,NTP status mismatch - Expected: synchronised Actual: NTP is disabled.
240,dc1-spine1,System,VerifyReloadCause,Verifies the last reload cause of the device.,,PASS,
241,dc1-spine2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: dc1-leaf1a (IP: 10.255.1.1),PASS,
242,dc1-spine2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: dc1-leaf1b (IP: 10.255.1.2),PASS,
243,dc1-spine2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: dc1-leaf2a (IP: 10.255.1.3),PASS,
244,dc1-spine2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: dc1-leaf2b (IP: 10.255.1.4),PASS,
245,dc1-spine2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: dc1-leaf1a (IP: 10.255.255.3),PASS,
246,dc1-spine2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: dc1-leaf1b (IP: 10.255.255.7),PASS,
247,dc1-spine2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: dc1-leaf2a (IP: 10.255.255.11),PASS,
248,dc1-spine2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: dc1-leaf2b (IP: 10.255.255.15),PASS,
249,dc1-spine2,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet1 - Remote: dc1-leaf1a Ethernet2,PASS,
250,dc1-spine2,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet2 - Remote: dc1-leaf1b Ethernet2,PASS,
251,dc1-spine2,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet3 - Remote: dc1-leaf2a Ethernet2,PASS,
252,dc1-spine2,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet4 - Remote: dc1-leaf2b Ethernet2,PASS,
253,dc1-spine2,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet1 (IP: 10.255.255.2) - Destination: dc1-leaf1a Ethernet2 (IP: 10.255.255.3),PASS,
254,dc1-spine2,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet2 (IP: 10.255.255.6) - Destination: dc1-leaf1b Ethernet2 (IP: 10.255.255.7),PASS,
255,dc1-spine2,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet3 (IP: 10.255.255.10) - Destination: dc1-leaf2a Ethernet2 (IP: 10.255.255.11),PASS,
256,dc1-spine2,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet4 (IP: 10.255.255.14) - Destination: dc1-leaf2b Ethernet2 (IP: 10.255.255.15),PASS,
257,dc1-spine2,Hardware,VerifyEnvironmentCooling,Verifies the status of power supply fans and all fan trays.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentCooling test is not supported on cEOSLab
258,dc1-spine2,Hardware,VerifyEnvironmentPower,Verifies the power supplies state and input voltage.,Accepted States: 'ok',SKIPPED,VerifyEnvironmentPower test is not supported on cEOSLab
259,dc1-spine2,Hardware,VerifyTemperature,Verifies if the device temperature is within acceptable limits.,,SKIPPED,VerifyTemperature test is not supported on cEOSLab
260,dc1-spine2,Hardware,VerifyTransceiversManufacturers,Verifies if all the transceivers come from approved manufacturers.,"Accepted Manufacturers: 'Arista Networks', 'Arastra, Inc.', 'Not Present'",SKIPPED,VerifyTransceiversManufacturers test is not supported on cEOSLab
261,dc1-spine2,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet1 - P2P_dc1-leaf1a_Ethernet2 = 'up',PASS,
262,dc1-spine2,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet2 - P2P_dc1-leaf1b_Ethernet2 = 'up',PASS,
263,dc1-spine2,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet3 - P2P_dc1-leaf2a_Ethernet2 = 'up',PASS,
264,dc1-spine2,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet4 - P2P_dc1-leaf2b_Ethernet2 = 'up',PASS,
265,dc1-spine2,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback0 - ROUTER_ID = 'up',PASS,
266,dc1-spine2,Routing,VerifyRoutingProtocolModel,Verifies the configured routing protocol model.,Routing protocol model: multi-agent,PASS,
267,dc1-spine2,System,VerifyNTP,Verifies if NTP is synchronised.,,FAIL,NTP status mismatch - Expected: synchronised Actual: NTP is disabled.
268,dc1-spine2,System,VerifyReloadCause,Verifies the last reload cause of the device.,,PASS,
